Item Id,Item Name,Price,Sales,Shop Name,Commission,Rate,Commission,Product Link,Offer Link,imagem
"2CozRYr","Smartphone Samsung Galaxy A05s 4g 128gb 6gb Ram Câmera Traseira Tripla 50mp + 2mp + 2mp + Selfie 13mp Tela 6.7  Preto","R$ 1.112","| +100mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2CozRYr","https://mercadolivre.com/sec/2CozRYr","https://http2.mlstatic.com/D_Q_NP_2X_847424-MLA99457124620_112025-AB.webp"
"2brmPjW","Smartphone Motorola Moto G56 5g 256gb 24gb 8gb Ram+16gb 50mp Grafite","R$ 1.443","| +5mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2brmPjW","https://mercadolivre.com/sec/2brmPjW","https://http2.mlstatic.com/D_Q_NP_2X_768160-MLA99910292031_112025-AB.webp"
"1onCsCm","Devocional Café Com Deus Pai Porções Diárias De Amor Junior Rostirola Edição 2026","R$ 67,77","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1onCsCm","https://mercadolivre.com/sec/1onCsCm","https://http2.mlstatic.com/D_Q_NP_2X_997543-MLA93078667256_092025-AB.webp"
"13bNBs2","Ventilador Coluna Arno 7 Pás Turbo Silencioso 40cm Estrutura Preto Pás Azul Diâmetro 40 Cm Frequência 60 Hz Material Das Pás Plástico","R$ 359","| +1000 vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/13bNBs2","https://mercadolivre.com/sec/13bNBs2","https://http2.mlstatic.com/D_Q_NP_2X_864340-MLA79811908488_102024-AB.webp"
"1TyiwJo","Volante Gamer Logitech G29 G29 Driving Force Cor Preto","R$ 1.879","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1TyiwJo","https://mercadolivre.com/sec/1TyiwJo","https://http2.mlstatic.com/D_Q_NP_2X_730363-MLA99890032125_112025-AB.webp"
"1jNXgMt","Smartphone Motorola Moto G56 5g - 256gb 16gb (8gb Ram+8gb Ram Boost) Camera 50mp Sony Lytia 600 Ultrarresistencia Militar E Ip68 + Ip69 - Grafite","R$ 1.443","| +10mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/1jNXgMt","https://mercadolivre.com/sec/1jNXgMt","https://http2.mlstatic.com/D_Q_NP_2X_963246-MLA100495064979_122025-AB.webp"
"2mQyami","Fritadeira Sem Óleo Air Fryer 4l Mondial 1500w Afn-40-bft","R$ 231,56","| +100mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/2mQyami","https://mercadolivre.com/sec/2mQyami","https://http2.mlstatic.com/D_Q_NP_2X_866262-MLA99776946004_122025-AB.webp"
"MLB5401378352","Câmera Segurança Ip Externa Wifi A28 App Icsee Prova Dagua Ip66 Dome Lente Dupla Lentes 2 Em 1 Vigilancia Visão Noturna Infravermelho Casenn","R$ 129","| +10mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB4721201188","Escada Multifuncional De Alumínio 4x4 Com 16 Degraus Dobrável E Articulada Botafogo  Leve E Resistente","R$ 579,68","| +10mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB5368610464","Smart Tv 43  Full Hd Aoc Roku Tv 43s5045/78g Hdmi 1 Usb Wifi","R$ 1.454","| +10mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB3085277415","Liquidificador Easy Power Mondial 550w - L-550-b","R$ 69","| +100mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB3355731167","Liquidificador Oster Oliq610 1400w Full 3,2l Cor Preto","R$ 159","| +100mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB3904967131","Creatina 100% Pura 300g Hardcore","R$ 40,30","| +1M vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB3275561889","Modulo Amplificador Taramps Ds 800x4 2 Ohms Classe D 4 Canais 800w Rms Potencia Som Automotivo 2x400w Rms 4 Ohms Bridge Entrada Rca Fio Hpf Lpf Full Range Carro Camionete Picapes Suv Caixa Bob","R$ 387","| +50mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB4150237521","Câmera Ip A8 App Icsee Infravermelho Prova D'água Externa Wifi Hd 3 Cor Branco","R$ 89,99","| +10mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"MLB4047095396","Transformador 5000va De 127 Para 220 E 220v Para 127v Bivolt 12000 Btus Conversor Voltagem 5kva Energia Ar Condicionado Impressoras Brother Microondas Máquina Costura Geladeira Lavar Roupas 110v 110","R$ 185,99","| +100mil vendidos","Mercado Livre","0","","0","","","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"28jPV8A","Panela De Pressão Vancouver 20582620 Em Alumínio Com Revestimento Interno E Externo Antiaderente Grafite Tramontina","R$ 188,79","| +50mil vendidos","Mercado Livre","0","","0","https://mercadolivre.com/sec/28jPV8A","https://mercadolivre.com/sec/28jPV8A","https://http2.mlstatic.com/D_Q_NP_2X_821832-MLA99571452148_122025-AB.webp"
